strategy,epochs,flrounds,num_B,glue_avg,file
fedit,1,3,3,0.8722,tinyllama_eval_fedit_epoch1_flround3_numB3.out
fedit,3,1,2,0.8699,tinyllama_eval_fedit_epoch3_flround1_numB2.out
fedit,1,2,3,0.8465,tinyllama_eval_fedit_epoch1_flround2_numB3.out
fedit,3,2,2,0.8938,tinyllama_eval_fedit_epoch3_flround2_numB2.out
fedit,1,1,3,0.8271,tinyllama_eval_fedit_epoch1_flround1_numB3.out
federated,2,2,2,0.845,tinyllama_eval_federated_epoch2_flround2_numB2.out
centralized,1,1,3,0.8563,tinyllama_train_centralized_epoch1_flround1_numB3.out
federated,2,3,2,0.8309,tinyllama_eval_federated_epoch2_flround3_numB2.out
federated,2,1,2,0.821,tinyllama_eval_federated_epoch2_flround1_numB2.out
centralized,3,1,2,0.8319,tinyllama_train_centralized_epoch3_flround1_numB2.out
fedit,3,3,3,0.8907,tinyllama_eval_fedit_epoch3_flround3_numB3.out
fedit,1,1,2,0.8248,tinyllama_eval_fedit_epoch1_flround1_numB2.out
fedit,3,2,3,0.8864,tinyllama_eval_fedit_epoch3_flround2_numB3.out
fedit,1,2,2,0.8453,tinyllama_eval_fedit_epoch1_flround2_numB2.out
fedit,3,1,3,0.8648,tinyllama_eval_fedit_epoch3_flround1_numB3.out
fedit,1,3,2,0.8691,tinyllama_eval_fedit_epoch1_flround3_numB2.out
federated,2,1,3,0.8365,tinyllama_eval_federated_epoch2_flround1_numB3.out
centralized,3,1,3,0.8589,tinyllama_train_centralized_epoch3_flround1_numB3.out
federated,2,3,3,0.8621,tinyllama_eval_federated_epoch2_flround3_numB3.out
centralized,1,1,2,0.8663,tinyllama_train_centralized_epoch1_flround1_numB2.out
federated,2,2,3,0.8474,tinyllama_eval_federated_epoch2_flround2_numB3.out
federated,1,3,2,0.8384,tinyllama_eval_federated_epoch1_flround3_numB2.out
federated,1,2,2,0.8185,tinyllama_eval_federated_epoch1_flround2_numB2.out
federated,3,1,3,0.8389,tinyllama_eval_federated_epoch3_flround1_numB3.out
centralized,2,1,3,0.8583,tinyllama_train_centralized_epoch2_flround1_numB3.out
federated,1,1,2,0.8046,tinyllama_eval_federated_epoch1_flround1_numB2.out
federated,3,2,3,0.8561,tinyllama_eval_federated_epoch3_flround2_numB3.out
federated,3,3,3,0.8615,tinyllama_eval_federated_epoch3_flround3_numB3.out
fedit,2,2,3,0.8919,tinyllama_eval_fedit_epoch2_flround2_numB3.out
fedit,2,3,3,0.8865,tinyllama_eval_fedit_epoch2_flround3_numB3.out
fedit,2,1,3,0.8636,tinyllama_eval_fedit_epoch2_flround1_numB3.out
federated,3,2,2,0.8481,tinyllama_eval_federated_epoch3_flround2_numB2.out
federated,1,1,3,0.8136,tinyllama_eval_federated_epoch1_flround1_numB3.out
federated,3,1,2,0.8435,tinyllama_eval_federated_epoch3_flround1_numB2.out
centralized,2,1,2,0.865,tinyllama_train_centralized_epoch2_flround1_numB2.out
federated,1,2,3,0.8119,tinyllama_eval_federated_epoch1_flround2_numB3.out
federated,1,3,3,0.8191,tinyllama_eval_federated_epoch1_flround3_numB3.out
fedit,2,1,2,0.8497,tinyllama_eval_fedit_epoch2_flround1_numB2.out
fedit,2,3,2,0.8949,tinyllama_eval_fedit_epoch2_flround3_numB2.out
fedit,2,2,2,0.8773,tinyllama_eval_fedit_epoch2_flround2_numB2.out
